"palabra","significado","ejemplo"
"cucarrón","escarabajo",""
"cucarrón","homosexual activo","me dijo que el hombre era un cucarrón activo y esto me cabrió"
"cucayo","pegote o pega que se adhiere a la vasija en que se cuecen los alimentos cuando han permanecido bastante tiempo en el fuego","me gusta el cucayo de arroz"
"cucharear","darle de comer a un niño o a un enfermo",""
"cucharear","comer lentamente",""
"cucharearse","curvarse o torcerse una superficie plana, especialmente de madera","la ventana se cuchareó"
"cuchivachín","picapleitos, tinterillo",""
"cuchivachín","persona que se aplica a muchos oficios","el hijo le resultó un cuchivachín"
"cucho","persona de edad",""
"cuchubo","alforja doble de cuero, con tapa, que se agrega a la silla de montar para llevar objetos o provisiones de viaje",""
"cuchubo","repleto","me parece que lo tiene cuchubito de plata"
"cuchuco","sopa espesa propia del interior del país, que se prepara a base de granos de trigo, cebada o maíz, con carne de cerdo y otros ingredientes",""
"cuco","bonito, gracioso","qué muñeca tan cuca"
"cuco","dicho de una persona, picada de viruela",""
"cucos","prenda interior femenina, calzones",""
"cucurucho","cima o cumbre de una cosa",""
"cucurucho","cerro o colina de forma cónica",""
"cucurucho","vivienda de mal aspecto","arriba, compadre zorro/ subamos al cucurucho/a bajar una gallina/porque el gallo pesa mucho"
"cucurucho","papel enrollado en forma de cono, que sirve para poner dulces, especias y otras cosas","diccionario de provincialismos y barbarismos del valle del cauca"
"cuerazo","lapo",""
"cuerazo","caída, porrazo",""
"cueriza","zurra propiciada con un cinturón, rejo o similares",""
"cuero","mujer fea, avejentada",""
"cuero","cigarrillo de marihuana",""
"cuidandero","celador, vigilante","lo arreglaron pa que no sia perro vagamundo, y que se quede aquí en la casa de cuidandero"
"cuidar","obsequiar a una persona con manjares gustosos para el agasajado",""
"cuidar la cuchara","hacer lo posible para no perder un trabajo o empleo",""
"cuido","alimento","ai les tengo hartos cuidos pa que maten el hambre"
"cuido","caballeriza, establo o pesebrera","y como en su cuido tengo la bestia y los avíos, nos vamos a dormir allí"
"cuja","cama angosta y desvencijada",""
"cuja","cama rústica de cuero con soporte de madera",""
"cují","tacaño",""
"cují","el que apuesta sin tener dinero","jugar de cují; ir de cují"
"culata","costado secundario de una construcción",""
"culear","fornicar",""
"culebra","acreedor que constriñe al deudor insistentemente",""
"culebra","deuda","es que por cualquier contrariedad, un guayabo, un despecho, una culebra, se puede romper la tusta de un balazo como un tarrali? . para quiebras, para atrasos, para culebras y para desilusiones . la vida"
"culebrero","charlatán que maneja culebras en público para propaganda y venta de menjurjes",""
"culebrero","sitio donde abundan las culebras",""
"culebrero","lugar donde abundan los chismes",""
"culebrero","sinuoso y resbaladizo","vámonos que va a llover y el camino es culebrero"
"culeco","fascinado o muy contento con una persona o cosa","ai la veo culeca con el muchachito"
"culeco","necio, insistente","si ese es el viejo más culeco y más empalagoso"
"culequera","empecinamiento o capricho","no mija, deje esa culequera"
"culera","miedo de los gallos durante la pelea",""
"culera","matadura de las bestias en las ancas",""
"culiar","fornicar",""
"culiflojo","pusilánime, inseguro",""
"culillo","miedo, cobardía","cuando vio la navaja le entró culillo"
"culimbo","de trasero levantado, de nalgas gruesas",""
"culimbo","dicho del gallo o gallina, de poca cola o sin ella",""
"culimbo","simple, insignificante","trajo unregalo muy culimbo"
"culimbo","equivocado",""
"culimbo","niño de corta edad",""
"culipronto","dicho de una persona, que actúa de manera rápida e irreflexiva",""
"culipronto","mujer que accede fácilmente a tener relaciones sexuales",""
"culirroto","desarrapado, andrajoso",""
"cumbamba","mandíbula, quijada","límpiese la cumbamba"
"cumbambón","dicho de una persona, que tiene gruesa o abultada la mandíbula, belfo",""
"cumbia","baile popular de la costa atlántica que imita un requiebro erótico y se acompaña de conjunto de gaitas, flautas de millo, tambores y maracas",""
"cumbiamba","grupo de músicos y danzantes de cumbia",""
"cumbiamba","fiesta popular en la que se bailan cumbia y otras danzas",""
"cumbiambero","aficionado a la cumbiamba",""
"cumis","bebida de leche fermentada",""
"cunche","refajo",""
"cunche","saya tejida como la usaban las ñapangas o campesinas",""
"cuncho","dicho del café o de bebidas fermentadas, sedimento o poso de un líquido","santa bárbara bendita/abogada de los truenos!/que si la chicha si acaba/los cunchos también son güenos"
"cuncho","la última leche que se le extrae a la vaca en cada ordeño",""
"cuncho","residuo de algún líquido",""
"cunga","mazamorra espesa hecha de suero de leche y harina de maíz tostado","cuando salí de los llanos/a caballo en una pulga/me vino a' clarear el día/ juntito a l'olla e la cunga"
"cupo","espacio, lugar o sitio en medios de transporte, salas de espectáculos, planteles escolares y hoteles",""
"cupo","margen de endeudamiento en servicios financieros",""
"cura","aguacate",""
"curaca","entre algunas comunidades indígenas, sacerdote, curandero, hechicero",""
"curiosidad","cosa especial y rara",""
"curioso","tegua, curandero",""
"curioso","dicho de una cosa, particular o extraña",""
"currulao","baile de origen africano que se acompaña con marimbas, tambores y cununos",""
"curruncho","clases de peces",""
"curruncho","habitante de la costa atlántica",""
"curruncho","tosco, ordinario",""
"cursera","diarrea",""
"cursera","envidia",""
"curtido","incorregible","qué muchacho tan curtido"
"curtido","dicho de la ropa, mugrosa","esa ropa está curtida"
"curuba","fruto del curubo, cuya pulpa se emplea para elaborar sorbetes, jugos y flanes",""
"cuscús","dicho del pelo, corto y ensortijado",""
"cuscús","fuerza, vigor",""
"cutarro","vasija de inferior calidad",""
"cute","capa de mugre en el cuerpo de una persona",""
"cute","sopa muy espesa",""
"cute","herramienta de madera para las faenas agrícolas",""
"cute","calabazo viejo en que se guardan desperdicios",""
"cute","ramera vieja",""
"cuti","voz que se usa repetida para llamar a las aves de corral",""
"cuy","cierta clase de roedor cuya carne es muy apetecida",""
"cuyabra","vasija doméstica, grande y abombada, que se hace con el epicarpio seco de una calabaza cortada por la mitad","la piedra de moler, en cuatro estacas/aseguran muy bien en otras cuatro,/ una cuyabra aparadora ponen,/y a su lado, con agua, un calabazo"
"cuítiva","mentira, embuste, patraña","esos son puras cuítivas"
"cuítiva","especie de garrapata pequeña",""
"cámara de representantes","cámara baja en el parlamento colombiano",""
"célebre","dicho de una persona, bonita, linda, agraciada","aí la veo culeca con el muchachito. ni gracia es, niñ' elisa; ¡es tan sabrocito y tan célebre"
"cúchito","voz que se usa a veces repetida para llamar a los perros",""
"dar bandera","exponerse a un peligro",""
"dar casquillo","burlarse de una persona",""
"dar casquillo","despertar celos en alguien",""
"dar casquillo","provocar a una persona, incitarla a pelear mediante insultos o burlas",""
"dar en el bocín","acertar en un comentario u opinión sobre un tema específico",""
"dar la pálido","a alguien . sufrir una pérdida de energías, un desmayo",""
"dar lora","molestar, fastidiar, importunar",""
"dar luz verde","autorizar la realización de algo",""
"dar papaya","dar ocasión de que otra persona nos cause un perjuicio",""
"dar para cacao","causar problemas o molestias",""
"darse garra","excederse en determinada actividad",""
"darse la pela","hacer grandes esfuerzos para lograr un objetivo",""
"dañado","dicho de una persona, de costumbres sexuales inmorales",""
"decolaje","despegue de un avión o cualquier medio de transporte aéreo","fue muy movido el decolaje del avión"
"decolar","despegar un avión o cualquier medio de transporte aéreo",""
"dejar","dar el último toque las campanas para llamar a los fieles a la misa","apúrele que ya dejaron"
"dejar la flota","a alguien . expresión para referirse a la mujer entrada en años que no se ha casado",""
"deje","último toque de la campana para llamar a una ceremonia religiosa","corre para llegar a tiempo a la misa que ya sonó el deje"
"demónchiros","expresión con la que se denota perplejidad o contrariedad","qué demónchiros se haría"
"dengue","contoneo, movimientos de hombros y cadera al caminar",""
"dentazo","mordisco",""
"dentistería","consultorio odontológico",""
"denuncio","denuncia",""
"derecho laboral","el que especialmente regula las relaciones laborales en sus aspectos económicos, jurídicos y sociales",""
"derechura","buena suerte","qué derechura la tuya"
"derramada","acto de eyaculación",""
"derramarse","eyacular",""
"derrame","semen",""
"desabrochado","que actúa de manera informal, ruda, descortés","es muy desabrochado para hablar"
"desacomedido","poco dispuesto a prestar ayuda",""
"desafortunadamente","infortunadamente","desafortunadamente subió otra vez la gasolina"
"desamerar","deshojar la mazorca del maíz",""
"desarrancharse","dejar de comer y dormir dentro del cuartel","el teniente se desarranchó porque probó que es casado"
"desayunadero","establecimiento público donde se sirven desayunos, especialmente cuando se trasnocha",""
"desbajerar","quitar a una planta arbustífera los retoños que estorban para su desarrollo",""
"desbarrancar","arrojar a una persona o cosa desde un barranco o precipicio",""
"desbarrancar","caerse alguien desde un barranco o precipio",""
"desbocado","referido a personas o animales, que van a gran velocidad",""
"desbrevada","dedicación intensa al estudio",""
"desbrevarse","dedicarse intensamente a una cosa, en especial al estudio",""
"descabezar","destituir a una persona de un cargo o empleo, o frustrarle una aspiración","lo descabezaron de la lista para el senado"
"descachalandrado","dicho de una persona, descuidada en el vestir y en su apariencia",""
"descachalandrado","descuidado en el vestir","esa vigüela que suena/tiene la boca rasgada y también el que la toca/tiene su escachalandrada"
"descachalandrarse","descuidarse en el vestido y aspecto personal",""
"descachar","cometer una indiscreción","se descacharon con ese comentario"
"descachar","romperse los ejes o cachos que sostienen las ruedas de un vehículo",""
"descachar","caerse la cacha o mango de una herramienta",""
"descachar","descornar, quitar los cuernos a un animal",""
"descachazar","limpiar de cachaza el guarapo de caña cuando está hirviendo para obtener miel",""
"descambiar","cambiar billetes o monedas por su equivalente en otros de menor denominación","quién me puede descambiar este billete"
"deschavetarse","volverse alguien loco",""
"desclarar","inclinar suavemente una vasija para hacer salir el líquido sin remover el sedimento",""
"descorche","cantidad de dinero que se paga en un restaurante o bar por llevar las bebidas alcohólicas que uno piensa consumir allí",""
"descrestada","acción y efecto de descrestar",""
"descrestador","persona que aparenta ser lo que no es",""
"descrestar","e . producir admiración, impresionar a alguien","el conferencista descrestó al auditorio por sus conocimientos"
"descuerada","crítica o chisme que se hace contra alguien","la descuerada se prolongó hasta las tantas de la noche, entre las delicias de armonía"
"descuerar","murmurar, conversar en perjuicio de una persona ausente, censurando sus acciones",""
"descumbrar","cortar la parte más alta de arbustos y árboles pequeños",""
"descumbrar","derribar los árboles de una montaña",""
"descumbre","lugar montañoso en que se han derribado los árboles",""
"descunchar","hacerle perder dinero a alguien, especialmente en el juego",""
"desempajado","dicho de un persona, medio calva",""
"desempastar","quitar a un libro la pasta",""
